Реплика;Эмоция;;;
Не вытерпи?;Anger;;;
Она терзалась?;Anger;;;
Погрусти.;Sadness;;;
Она невзлюбила.;Anger;;;
Она опупела?;Anger;;;
Она не измоталась.;Neutral;;;
Она не разгневалась.;Joy;;;
Она не гордилась.;Sadness;;;
Не поволнуйся.;Joy;;;
Не опьяней?;Anger;;;
Она не боялась?;Surprise;;;
Не устрашайся!;Anger;;;
Она не разревелась.;Surprise;;;
Не озлобь.;Fear;;;
Не обидь?;Surprise;;;
Она терроризировала!;Fear;;;
Не заинтересуй!;Anger;;;
Она не скучала!;Sadness;;;
Не изнемогай!;Anger;;;
Не восхищай!;Anger;;;
Она не страшила?;Surprise;;;
Не убивай?;Anger;;;
Не обалдевай.;Anger;;;
Освежись.;Joy;;;
Она не приободрилась!;Anger;;;
Она не удовлетворялась!;Anger;;;
Она потрясла?;Surprise;;;
Прослезись?;Surprise;;;
Она смела?;Anger;;;
Не покайся!;Anger;;;
Огорчи.;Sadness;;;
Взбадривайся.;Joy;;;
Она не возрыдала?;Anger;;;
Бойся!;Fear;;;
Упейся!;Anger;;;
Не изведись?;Surprise;;;
Она не изнуряла.;Joy;;;
Она переволновалась.;Fear;;;
Она вдохновлялась!;Joy;;;
Она изнывала!;Sadness;;;
Она не привязывалась.;Sadness;;;
Соскучься.;Sadness;;;
Она истосковалась?;Sadness;;;
Не насыться.;Joy;;;
Она свирепела?;Surprise;;;
Возмущайся!;Anger;;;
Беси?;Surprise;;;
Не расстраивайся.;Joy;;;
Не возвеселись?;Surprise;;;
Она убоялась?;Fear;;;
Не топай?;Neutral;;;
Она удовлетворилась?;Joy;;;
Грусти!;Sadness;;;
Не торжествуй?;Surprise;;;
Она не переутомила!;Anger;;;
Она не волновалась.;Neutral;;;
Она не погрустнела!;Joy;;;
Не переволнуйся?;Surprise;;;
Она понервничала.;Fear;;;
Не томись?;Surprise;;;
Не обозли!;Anger;;;
Изной?;Sadness;;;
Она удовлетворяла.;Joy;;;
Не бесись?;Anger;;;
Она не осознавала?;Surprise;;;
Она поверила?;Surprise;;;
Она удовлетворилась.;Joy;;;
Она переболела.;Sadness;;;
Она не балдела!;Surprise;;;
Не балдей?;Anger;;;
Не проплачь.;Neutral;;;
Не ужасай!;Anger;;;
Не балдей!;Anger;;;
Не труси?;Surprise;;;
Она истомилась?;Surprise;;;
Гордись?;Neutral;;;
Она не дулась!;Anger;;;
Измотайся?;Anger;;;
Она вспылила.;Anger;;;
Она не недолюбливала.;Joy;;;
Окрылись!;Joy;;;
Она не позлилась.;Joy;;;
Она не стеснялась?;Surprise;;;
Не взбеси.;Anger;;;
Не рассерди?;Surprise;;;
Утомляй.;Sadness;;;
Не удивляйся.;Neutral;;;
Не гневи.;Anger;;;
Изумись?;Surprise;;;
Она терпела.;Fear;;;
Замучься?;Anger;;;
Стыдись!;Fear;;;
Она не измучилась!;Anger;;;
Расстрой.;Sadness;;;
Она измучилась!;Fear;;;
Она не утомлялась?;Surprise;;;
Она домучилась?;Anger;;;
Взбелени.;Неграмматично;;;
Не насыщайся?;Anger;;;
Разгневай!;Anger;;;
Она томилась.;Sadness;;;
Она не затосковала!;Anger;;;
Не смутись.;Joy;;;
Измотайся.;Sadness;;;
Она не переутомляла!;Joy;;;
Ошеломи!;Surprise;;;
Она изматывала!;Anger;;;
Она не помрачала?;Surprise;;;
Она упивалась.;Anger;;;
Она травмировала!;Anger;;;
Она подступала!;Fear;;;
Она мечтала.;Joy;;;
Домучься.;Sadness;;;
Надоедай.;Sadness;;;
Она взорвала.;Anger;;;
Она не сломилась.;Joy;;;
Не восторгай.;Sadness;;;
Она изнервничалась?;Surprise;;;
Не позлорадствуй?;Anger;;;
Освежай?;Joy;;;
Взорви.;Anger;;;
Раздражись!;Anger;;;
Разочаруй?;Surprise;;;
Она не подосадовала!;Joy;;;
Не смей!;Anger;;;
Переболей?;Surprise;;;
Не тревожься!;Joy;;;
Не обалдей.;Anger;;;
Она вознегодовала.;Неграмматично;;;
Не изуми!;Neutral;;;
Не рассвирепей!;Anger;;;
Не перетрусь.;Neutral;;;
Она пела?;Surprise;;;
Не затрави.;Neutral;;;
Встревожь?;Surprise;;;
Сохни.;Anger;;;
Не поплачь.;Neutral;;;
Не вытерпи.;Anger;;;
Она не возвеселилась!;Anger;;;
Она отчаивалась!;Joy;;;
Она не скисла!;Joy;;;
Не понравься?;Surprise;;;
Она раздражала?;Surprise;;;
Струхни.;Fear;;;
Она не смела.;Anger;;;
Ослепи?;Anger;;;
Не наслаждайся?;Surprise;;;
Она воспрянула.;Joy;;;
Она ужасала.;Fear;;;
Не надивись!;Joy;;;
Не сломись.;Joy;;;
Не повеселись?;Surprise;;;
Она огорчила!;Sadness;;;
Она не удивлялась?;Surprise;;;
Не опостылей.;Anger;;;
Она услаждалась!;Joy;;;
Наслаждайся.;Joy;;;
Она поразила?;Surprise;;;
Она спугивала!;Fear;;;
Она возрадовалась!;Joy;;;
Не льсти?;Surprise;;;
Убивай?;Anger;;;
Точи?;Neutral;;;
Не скучай?;Surprise;;;
Она развлекала?;Surprise;;;
Растревоживай.;Fear;;;
Разнервничайся.;Fear;;;
Не серчай!;Joy;;;
Она не рассердилась.;Neutral;;;
Ужасай!;Fear;;;
Не сторонись.;Neutral;;;
Гневи.;Anger;;;
Переволнуй?;Неграмматично;;;
Она не ободрялась!;Sadness;;;
Она не взорвалась?;Surprise;;;
Она не сломилась?;Surprise;;;
Не воспрянь?;Surprise;;;
Она настрадалась!;Sadness;;;
Не содрогайся!;Anger;;;
Не разревись.;Anger;;;
Она не угрюмела?;Surprise;;;
Она не удовольствовалась!;Sadness;;;
Она не разочаровала?;Surprise;;;
Она не гнела.;Неграмматично;;;
Она развлекла!;Joy;;;
Она не унывала?;Surprise;;;
Она взорвала!;Joy;;;
Она не тушевалась!;Joy;;;
Застращай?;Surprise;;;
Она не встревожила.;Neutral;;;
Не сникай.;Неграмматично;;;
Измотай!;Fear;;;
Она вспылила?;Surprise;;;
Она не поникла!;Joy;;;
Жалей?;Sadness;;;
Ликуй!;Joy;;;
Не потоскуй?;Surprise;;;
Она казнилась?;Surprise;;;
Она надулась.;Sadness;;;
Она страшилась?;Surprise;;;
Изнывай.;Sadness;;;
Она пуганула?;Fear;;;
Она не погневалась.;Neutral;;;
Осознавай?;Neutral;;;
Огорчайся.;Sadness;;;
Она не опасалась?;Surprise;;;
Она не ужаснула.;Neutral;;;
Не страдай?;Neutral;;;
Позлорадствуй!;Anger;;;
Раздосадуй.;Sadness;;;
Не скисни?;Surprise;;;
Она не затравила.;Joy;;;
Порадуйся!;Joy;;;
Она не досадовала?;Surprise;;;
Омрачись?;Surprise;;;
Раздразни!;Anger;;;
Она не угрожала!;Surprise;;;
Обожай.;Joy;;;
Она расцвела?;Joy;;;
Раздразнивай.;Anger;;;
Она не опечалила.;Joy;;;
Не взорвись.;Anger;;;
Трепещи!;Fear;;;
Она запугала.;Fear;;;
Не прогневай.;Anger;;;
Она не паниковала?;Surprise;;;
Не топай.;Neutral;;;
Сдрейфи!;Anger;;;
Она повеселела.;Joy;;;
Она озлобляла.;Anger;;;
Она сникала.;Sadness;;;
Она злобствовала.;Anger;;;
Она не возрыдала.;Neutral;;;
Удручай!;Sadness;;;
Не возмущайся?;Anger;;;
Она не убоялась?;Surprise;;;
Возвеселись.;Joy;;;
Не раздражи?;Anger;;;
Не растревожь?;Surprise;;;
Изнемогай!;Sadness;;;
Не удивись?;Surprise;;;
Она не восхитилась!;Anger;;;
Измучься?;Anger;;;
Она утомляла.;Sadness;;;
Казнись!;Anger;;;
Она приободрилась!;Joy;;;
Напугайся.;Fear;;;
Она сконфузилась!;Fear;;;
Она взбеленилась.;Anger;;;
Она приунывала!;Sadness;;;
Сторонись.;Fear;;;
Она не недолюбливала?;Surprise;;;
Она не сторонилась.;Neutral;;;
Она поощряла!;Joy;;;
Не дивись?;Surprise;;;
Она тушевалась.;Fear;;;
Устрашайся.;Fear;;;
Она не поражалась?;Surprise;;;
Она воскресала!;Joy;;;
Дрейфи?;Surprise;;;
Не перетрусь?;;;;
Она обидела!;Sadness;;;
Она не разнервничалась.;Neutral;;;
Не недолюбливай?;Surprise;;;
Она не услаждалась.;Sadness;;;
Освежи?;Surprise;;;
Она не озлила?;Fear;;;
Она забеспокоилась?;Surprise;;;
Не поднимай?;Surprise;;;
Обрадуй?;Joy;;;
Разозлись!;Anger;;;
Беспокойся?;Fear;;;
Не осердись?;Surprise;;;
Она мучила?;Sadness;;;
Убивай.;Anger;;;
Она не веселила!;Sadness;;;
Развесели!;Joy;;;
Настрадайся?;Surprise;;;
Она не сломила?;Surprise;;;
Заинтересуй.;Joy;;;
Она печалилась.;Sadness;;;
Не рассердись.;Neutral;;;
Она не удовольствовалась?;Sadness;;;
Горюй?;Sadness;;;
Она встряхивалась!;Joy;;;
Она погрустила?;Surprise;;;
Не стоскуйся.;Joy;;;
Она раздражилась!;Anger;;;
Она дивила?;Неграмматично;;;
Она разволновала.;Fear;;;
Она казнилась!;Неграмматично;;;
Она туманилась?;Surprise;;;
Не ужасай?;Surprise;;;
Она приунывала.;Sadness;;;
Возмути?;Surprise;;;
Не опасайся.;Joy;;;
Она не помрачала.;Joy;;;
Она не озлобила.;Joy;;;
Она заледенела?;Surprise;;;
Она не убивалась!;Anger;;;
Не удручи?;Неграмматично;;;
Она не испугалась?;Surprise;;;
Изматывайся!;Sadness;;;
Она утомляла!;Anger;;;
Она повредила?;Surprise;;;
Она поднимала.;Neutral;;;
Устрашись!;Fear;;;
Она торжествовала!;Joy;;;
Она не удовлетворялась.;Sadness;;;
Она не загрустила.;Joy;;;
Она не хандрила.;Joy;;;
Не поощряй?;Surprise;;;
Она окрылила?;Surprise;;;
Она развлекалась?;Neutral;;;
Она раздосадовалась!;Sadness;;;
Она не повеселилась.;Sadness;;;
Она не вознегодовала.;Неграмматично;;;
Обожгись!;Anger;;;
Она не изнывала?;Surprise;;;
Не испугай.;Neutral;;;
Услаждайся!;Joy;;;
Плачь!;Sadness;;;
Измотай.;Anger;;;
Она гордилась!;Joy;;;
Она не переутомляла?;Surprise;;;
Взвой?;Sadness;;;
Она обмерла.;Fear;;;
Взъярись!;Anger;;;
Не испугай!;Neutral;;;
Она не обозлила.;Neutral;;;
Не погневайся.;Fear;;;
Не побаивайся!;Joy;;;
Дивись!;Joy;;;
Не замучься?;Surprise;;;
Не раздражайся.;Anger;;;
Волнуйся!;Fear;;;
Опечаливай?;Surprise;;;
Удивись.;Surprise;;;
Возмущай.;Anger;;;
Она не исстрадалась?;Anger;;;
Она не ранила?;Surprise;;;
Не удивись.;Neutral;;;
Гневайся?;Surprise;;;
Проплачь?;Surprise;;;
Перепугайся!;Fear;;;
Она не тужила?;Surprise;;;
Вытерпи!;Joy;;;
Не упивайся?;Surprise;;;
Не загрусти!;Joy;;;
Она не огорчала.;Joy;;;
Она балдела!;Joy;;;
Рыдай!;Sadness;;;
Досадуй.;Sadness;;;
Она не повредила?;Surprise;;;
Она не устрашила!;Joy;;;
Она не опьянела?;Surprise;;;
Утомляйся!;Sadness;;;
Раздави?;Surprise;;;
Посмеивайся?;Joy;;;
Не воспрянь!;Anger;;;
Она скисла?;Surprise;;;
Не взбадривайся?;Sadness;;;
Она истомилась!;Sadness;;;
Она балдела?;Surprise;;;
Не подбодрись!;Sadness;;;
Она не взбеленила.;Neutral;;;
Не стращай!;Anger;;;
Угрюмей?;Sadness;;;
Она скорбела.;Sadness;;;
Она волновалась!;Fear;;;
Пригорюнься.;Sadness;;;
Не подшучивай!;Anger;;;
Она не услаждалась?;Surprise;;;
Она разнервничалась!;Fear;;;
Она натерпелась!;Anger;;;
Она привязывалась!;Sadness;;;
Поражайся!;Surprise;;;
Она не взбеленила?;Surprise;;;
Поникни.;Sadness;;;
Она изныла?;Anger;;;
Она позлилась!;Anger;;;
Она не утомилась.;Neutral;;;
Не струхни?;Surprise;;;
Стращай?;Surprise;;;
Не погорюй.;Joy;;;
Разревись.;Sadness;;;
Она восхищалась!;Joy;;;
Она не точила.;Neutral;;;
Она мучила!;Sadness;;;
Топай!;Anger;;;
Не гнети!;Joy;;;
Разочаруйся!;Sadness;;;
Удивись?;Surprise;;;
Она не печалилась.;Joy;;;
Она не горевала!;Joy;;;
Не расстройся?;Surprise;;;
Не диви?;Неграмматично;;;
Она не терзалась!;Joy;;;
Стесняйся!;Fear;;;
Она уважала.;Neutral;;;
Не утоми.;Anger;;;
Не рассмейся!;Sadness;;;
Не сломи!;Joy;;;
Хандри!;Anger;;;
Она смущала!;Fear;;;
Не освещай!;Anger;;;
Она опасалась?;Surprise;;;
Омрачи!;Sadness;;;
Она не веселила.;Sadness;;;
Она не доставала?;Surprise;;;
Обеспокой?;Fear;;;
Она сломилась?;Surprise;;;
Возрадуйся!;Joy;;;
Не стыдись!;Joy;;;
Плачь.;Sadness;;;
Соскучься!;Neutral;;;
Испугайся?;Fear;;;
Не хандри?;Neutral;;;
Не раздосадуйся!;Joy;;;
Не исстрадайся!;Anger;;;
Она заволновалась!;Fear;;;
Обожгись.;Anger;;;
Не злей?;Неграмматично;;;
Она не наскучила!;Anger;;;
Вытерпи?;Surprise;;;
Она взорвалась?;Fear;;;
Она проклинала?;Anger;;;
Она не омрачалась!;Fear;;;
Раздражись?;Anger;;;
Посмейся.;Joy;;;
Она устыдилась.;Fear;;;
Не взвой?;Surprise;;;
Она озлобила.;Anger;;;
Не утомляйся.;Neutral;;;
Она спугивала?;Surprise;;;
Она не разнервничалась?;Surprise;;;
Она переутомляла.;Sadness;;;
Она тревожила!;Fear;;;
Не грусти?;Sadness;;;
Не презирай!;Anger;;;
Она не изумила?;Surprise;;;
Она поражалась.;Surprise;;;
Не обалдей!;Anger;;;
Она блаженствовала.;Joy;;;
Она не посетовала!;Surprise;;;
Не встряхивайся!;Neutral;;;
Она не опечалилась!;Joy;;;
Не закручинься.;Joy;;;
Не разочаруйся?;Anger;;;
Она не взбеленилась?;Fear;;;
Не надоедай?;Surprise;;;
Утоми.;Sadness;;;
Она не заледенела.;Neutral;;;
Она изматывалась?;Sadness;;;
Она понравилась!;Joy;;;
Она надоедала!;Anger;;;
Она омрачила?;Surprise;;;
Не стервеней?;Anger;;;
Она не свирепела.;Joy;;;
Не обалдевай!;Anger;;;
Не ненавидь.;Joy;;;
Она не прогневала.;Neutral;;;
Не удручай!;Sadness;;;
Она не запугивала?;Surprise;;;
Она сконфузилась.;Fear;;;
Не прослезись!;Joy;;;
Она погрустнела.;Sadness;;;
Она переволновалась?;Surprise;;;
Она порадовала.;Joy;;;
Она не изнемогала!;Anger;;;
Она удивила!;Surprise;;;
Она конфузилась!;Fear;;;
Запугивай!;Fear;;;
Она не сокрушила!;Joy;;;
Расцвети.;Joy;;;
Она не содрогалась.;Neutral;;;
Она оплакала.;Sadness;;;
Насыться.;Joy;;;
Она подбодрилась.;Joy;;;
Изумляй.;Surprise;;;
Не перепугайся!;Joy;;;
Светись.;Joy;;;
Перетревожь!;Неграмматично;;;
Пошути!;Joy;;;
Не ошеломи.;Neutral;;;
Она не расстраивалась!;Joy;;;
Погрустней!;Sadness;;;
Она привязывалась.;Neutral;;;
Она нервничала!;Fear;;;
Она не цвела.;Sadness;;;
Обожгись?;Surprise;;;
Она сердила!;Anger;;;
Она не обидела?;Surprise;;;
Она не оплакивала!;Anger;;;
Ужаснись.;Fear;;;
Она не ужаснулась!;Joy;;;
Она восторгалась!;Joy;;;
Она не надеялась?;Surprise;;;
Она леденила?;Неграмматично;;;
Она не расцветала!;Sadness;;;
Она не светилась!;Sadness;;;
Она не забеспокоилась!;Joy;;;
Не заскучай.;Neutral;;;
Она не гневила.;Neutral;;;
Выстрадай.;Sadness;;;
Не угрюмей.;Joy;;;
Не освежи!;Neutral;;;
Не томись!;Joy;;;
Не гнети.;Neutral;;;
Она порадовалась?;Joy;;;
Не мучь.;Sadness;;;
Коли?;Neutral;;;
Она смеялась.;Joy;;;
Она удовлетворяла!;Joy;;;
Она досадовала.;Sadness;;;
Не хлебни?;Surprise;;;
Воспрянь.;Joy;;;
Не остолбеней?;Surprise;;;
Она не загоревала?;Surprise;;;
Она не измаялась?;Surprise;;;
Не потрясай.;Neutral;;;
Не застращай.;Neutral;;;
Она не радовалась?;Sadness;;;
Не упейся?;Anger;;;
Любуйся!;Joy;;;
Она осточертела!;Anger;;;
Упейся?;Surprise;;;
Она не доставала.;Neutral;;;
Беси.;Anger;;;
Приободряйся!;Joy;;;
Она не кручинилась.;Joy;;;
Обмирай!;Неграмматично;;;
Сокрушайся.;Sadness;;;
Трясись.;Fear;;;
Она наслаждалась?;Joy;;;
Не изводись?;Sadness;;;
Она домучилась!;Sadness;;;
Не вымотай.;Sadness;;;
Не разъяри!;Fear;;;
Она не подавляла!;Anger;;;
Не цвети.;Sadness;;;
Не озли?;Anger;;;
Гневи!;Anger;;;
Предвкушай.;Joy;;;
Она не захватывала?;Surprise;;;
Светись!;Joy;;;
Она изнемогла.;Sadness;;;
Она не обиделась?;Surprise;;;
Она растревожила!;Fear;;;
Она не раздражала!;Joy;;;
Она не понервничала?;Surprise;;;
Не вознегодуй!;Anger;;;
Подиви?;Неграмматично;;;
Не шантажируй!;Anger;;;
Нарадуйся?;Неграмматично;;;
Она не скисла.;Neutral;;;
Переверни.;Neutral;;;
Она не приунывала!;Joy;;;
Не убей.;Anger;;;
Не травмируй!;Anger;;;
Она расстраивалась!;Sadness;;;
Она возмущала.;Anger;;;
Она испугалась?;Surprise;;;
Она возмутилась!;Anger;;;
Она опечаливала?;Surprise;;;
Она не встревожилась?;Surprise;;;
Она погрустнела?;Surprise;;;
Поволнуйся.;Fear;;;
Замучивайся?;Surprise;;;
Она опьянела.;Neutral;;;
Она не отпугивала.;Joy;;;
Не беси!;Anger;;;
Она взбеленила.;Неграмматично;;;
Рассвирепей?;Anger;;;
Она не сконфузилась!;Surprise;;;
Не удовлетворись.;Sadness;;;
Она не конфузилась.;Joy;;;
Она не просияла!;Anger;;;
Она не прискучивала.;Joy;;;
Она тяготила.;Sadness;;;
Она не балдела.;Sadness;;;
Изумляй?;Surprise;;;
Она не вознегодовала!;Anger;;;
Она не страшилась?;Surprise;;;
Она не топала!;Anger;;;
Она не поражала.;Sadness;;;
Не проклинай?;Surprise;;;
Убойся.;Sadness;;;
Она помучилась?;Anger;;;
Она переживала?;Surprise;;;
Она злилась?;Fear;;;
Обозлись?;Anger;;;
Она не смеялась!;Anger;;;
Возмущайся.;Sadness;;;
Она развлекалась.;Joy;;;
Она не терпела!;Anger;;;
Веселись.;Joy;;;
Она не повеселела.;Sadness;;;
Она не ободрилась.;Sadness;;;
Она перевернула!;Joy;;;
Она не настрадалась.;Anger;;;
Она не унывала!;Joy;;;
Она не надеялась!;Sadness;;;
Она не разволновала!;Joy;;;
Не измучься?;Surprise;;;
Не заскучай!;Joy;;;
Она не печалилась!;Joy;;;
Не презирай?;Surprise;;;
Не блаженствуй.;Sadness;;;
Она не нервничала?;Surprise;;;
Она злела?;Неграмматично;;;
Кручинься?;Surprise;;;
Она помрачила?;Неграмматично;;;
Насмехайся.;Anger;;;
Диви?;Неграмматично;;;
Раздразни?;Surprise;;;
Она не гневила!;Surprise;;;
Раздражай!;Anger;;;
Нервничай.;Surprise;;;
Она не промаялась?;Surprise;;;
Она не утомляла.;Joy;;;
Она переволновалась!;Joy;;;
Она разволновала!;Joy;;;
Не вдохновляйся?;Surprise;;;
Изнури?;Surprise;;;
Пьяней?;Surprise;;;
Не надейся?;Sadness;;;
Обалдей!;Surprise;;;
Она не сердилась.;Joy;;;
Не захандри!;Joy;;;
Не раздразни!;Joy;;;
Она не обидела.;Joy;;;
Освежайся!;Joy;;;
Она бесилась!;Anger;;;
Рыдай.;Sadness;;;
Сердись!;Anger;;;
Не обомри?;Surprise;;;
Она не обожглась!;Joy;;;
Взорви?;Surprise;;;
Она освежала.;Joy;;;
Расстройся!;Sadness;;;
Она не загрустила?;Surprise;;;
Она не разобиделась.;Joy;;;
Не замучься!;Anger;;;
Не развлекайся!;Sadness;;;
Не побойся.;Joy;;;
Ошеломи.;Surprise;;;
Она не прогневалась!;Joy;;;
Не обрадуй.;Sadness;;;
Не наскучивай!;Joy;;;
Она гневила!;Anger;;;
Она не вымотала.;Joy;;;
Не выматывай?;Surprise;;;
Она не устрашилась?;Surprise;;;
Не оплачь.;Joy;;;
Не фыркай?;Surprise;;;
Переутомляй!;Joy;;;
Насыться!;Joy;;;
Истоскуйся.;Sadness;;;
Не поволнуйся?;Surprise;;;
Она не посмеивалась.;Sadness;;;
Она огорчалась?;Sadness;;;
Окрылись?;Surprise;;;
Она не сторонилась!;Joy;;;
Не негодуй?;Anger;;;
Она не серчала?;Fear;;;
Она не презирала!;Joy;;;
Не раздосадуй!;Anger;;;
Она не пьянела.;Neutral;;;
Скорби?;Sadness;;;
Не злей.;Неграмматично;;;
Она порадовалась.;Joy;;;
Обозлись!;Anger;;;
Поплачь?;Sadness;;;
Не соскучься.;Joy;;;
Она не надоела?;Anger;;;
Она не серчала!;Joy;;;
Она омрачалась?;Sadness;;;
Она дрожала?;Fear;;;
Она натерпелась?;Surprise;;;
Развеселись?;Joy;;;
Она растревожила?;Surprise;;;
Не устрашай.;Sadness;;;
Надуйся!;Anger;;;
Не проплачь?;Surprise;;;
Рассерди!;Anger;;;
Не угрожай.;Anger;;;
Утомляй!;Anger;;;
Исстрадайся!;Sadness;;;
Томись.;Anger;;;
Льсти?;Surprise;;;
Она не удивилась!;Anger;;;
Она не измочалила!;Anger;;;
Не насыться!;Anger;;;
Не бойся.;Joy;;;
Она обмирала!;Sadness;;;
Она не беспокоилась!;Anger;;;
Она не никла?;Surprise;;;
Она затосковала?;Sadness;;;
Она злила!;Anger;;;
Она не травмировала?;Surprise;;;
Она невзлюбила?;Surprise;;;
Подавляй?;Surprise;;;
Она не пела?;Neutral;;;
Измучься!;Anger;;;
Она не пугнула?;Surprise;;;
Не труси.;Anger;;;
Не приунывай?;Neutral;;;
Она насытилась.;Neutral;;;
Не обидь.;Neutral;;;
Она изматывалась.;Sadness;;;
Не измотайся.;Anger;;;
Не восторгайся.;Sadness;;;
Не дрейфи.;Joy;;;
Не исстрадайся.;Joy;;;
Не заскучай?;Surprise;;;
Она воспрянула!;Joy;;;
Домучься!;Sadness;;;
Она возрадовалась.;Joy;;;
Она не пела!;Neutral;;;
Развлекайся?;Surprise;;;
Погневайся.;Anger;;;
Она сокрушалась?;Surprise;;;
Она страшилась.;Fear;;;
Она не злилась?;Surprise;;;
Она не обожглась?;Fear;;;
Не смущайся!;Joy;;;
Не измочаливай.;Neutral;;;
Она опупела.;Surprise;;;
Она не воскресала!;Surprise;;;
Она не удивилась?;Surprise;;;
Приунывай!;Sadness;;;
Она не развлекала.;Neutral;;;
Она заинтересовала!;Joy;;;
Она отчаивалась.;Sadness;;;
Не достань!;Anger;;;
Не процветай?;Surprise;;;
Удовлетворяйся!;Joy;;;
Заледеней?;Surprise;;;
Она ужасала?;Fear;;;
Она обиделась?;Sadness;;;
Повеселись!;Joy;;;
Она нарадовалась?;Joy;;;
Она не вдохновлялась?;Sadness;;;
Она уважала!;Joy;;;
Она любовалась.;Joy;;;
Поволнуйся?;Fear;;;
Разволнуй.;Fear;;;
Она злобствовала?;Anger;;;
Не серди?;Anger;;;
Сожалей?;Surprise;;;
Не порази?;Surprise;;;
Не мучься?;Sadness;;;
Она печалила.;Sadness;;;
Она не забоялась?;Surprise;;;
Не радуй.;Sadness;;;
Растревожь!;Fear;;;
Гнети?;Surprise;;;
Она опостылела.;Anger;;;
Она не развеселилась?;Sadness;;;
Она злила?;Anger;;;
Не удивляй?;Surprise;;;
Не терзайся!;Joy;;;
Не ликуй.;Sadness;;;
Не насыщайся!;Sadness;;;
Услаждайся.;Joy;;;
Не устрашись.;Neutral;;;
Она сердила.;Anger;;;
Она расстраивалась.;Sadness;;;
Расстрой?;Sadness;;;
Поднимай!;Neutral;;;
Она беспокоила.;Fear;;;
Она не конфузилась!;Joy;;;
Надейся?;Sadness;;;
Не измочаль.;Неграмматично;;;
Она не подавила.;Neutral;;;
Не пугни!;Fear;;;
Она пошутила.;Joy;;;
Не пошути.;Sadness;;;
Она разнервничалась?;Surprise;;;
Она не невзлюбила.;Anger;;;
Заволнуйся?;Fear;;;
Не озлобь?;Surprise;;;
Она не переволновалась.;Neutral;;;
Балдей!;Joy;;;
Она не возмутила!;Anger;;;
Она не возликовала?;Surprise;;;
Заволнуйся.;Fear;;;
Она нервничала?;Surprise;;;
Она не ранила!;Anger;;;
Она обалдевала.;Joy;;;
Она не помучилась?;Sadness;;;
Она дивила.;Surprise;;;
Угрожай?;Anger;;;
Она не запугивала!;Anger;;;
Она не любовалась?;Sadness;;;
Не позли!;Anger;;;
Умайся!;Anger;;;
Потряси.;Neutral;;;
Осердись.;Anger;;;
Побаивайся!;Fear;;;
Не обозлись.;Fear;;;
Не скисай.;Joy;;;
Она утомила!;Anger;;;
Она ослепила!;Joy;;;
Она не взорвалась.;Neutral;;;
Она изматывала?;Surprise;;;
Она интересовалась?;Surprise;;;
Она гневила?;Anger;;;
Не погневайся?;Fear;;;
Рассерчай.;Anger;;;
Она повеселилась.;Joy;;;
Не шантажируй.;Anger;;;
Не пьяней?;Surprise;;;
Пугани.;Fear;;;
Изнури.;Sadness;;;
Она не бесила?;Anger;;;
Она огорчала.;Sadness;;;
Подавляй.;Anger;;;
Взвой.;Sadness;;;
Не устрашись!;Joy;;;
Она не удручила.;Joy;;;
Опупей.;Fear;;;
Надуйся?;Sadness;;;
Хмурься.;Sadness;;;
